sn & class & ra & dec & z_sn & z_host & distance & distance_err & ebv & mass & mass_plus_er & mass_minus_er & sfr & sfr_plus_er & sfr_minus_er & ssfr & ssfr_plus_er & ssfr_minus_er
SN2016hbd            & IIP     & 02:56:06.21 & +27:42:06.8  & 0.02159  & 0.02159  & 90.00  & 6.30  & 0.122 & 9.10  & 0.06 & 0.01 & 0.482  & 0.121 & 0.414 & -9.43  & 0.08 & 0.87 
SN2016hgm            & II      & 01:22:11.73 & +00:57:07.8  & 0.00780  & 0.00780  & 32.53  & 2.28  & 0.029 & 9.53  & 0.01 & 0.01 & 1.371  & 0.013 & 0.019 & -9.40  & 0.01 & 0.01 
SN2016hvu            & IIP     & 22:35:55.56 & +20:19:12.6  & 0.01852  & 0.01852  & 79.75  & 5.58  & 0.042 & 10.10 & 0.12 & 0.01 & 6.310  & 0.675 & 2.737 & -9.30  & 0.01 & 0.40 
SN2016idl            & IIn     & 10:06:29.13 & +22:26:43.8  & 0.05800  & 0.05800  & 259.67 & 23.42 & 0.029 & 7.16  & 0.13 & 0.02 & 0.038  & 0.001 & 0.022 & -7.67  & 0.12 & 0.38 
SN2016iyy            & II      & 06:56:34.62 & +46:53:38.6  & 0.02860  & --       & 125.25 & 22.46 & 0.060 & 9.15  & 0.08 & 0.16 & 0.449  & 0.131 & 0.094 & -9.55  & 0.28 & 0.15 
SN2016jft            & IIP     & 09:43:55.87 & +41:41:17.8  & 0.01750  & 0.01750  & 79.68  & 5.59  & 0.014 & 10.37 & 0.01 & 0.09 & 1.542  & 0.043 & 0.435 & -10.20 & 0.01 & 0.01 
SN2016jfu            & IIP     & 12:54:42.60 & +28:56:26.0  & 0.00829  & 0.00829  & 43.50  & 3.05  & 0.011 & 10.14 & 0.05 & 0.01 & 2.799  & 0.006 & 0.076 & -9.70  & 0.01 & 0.03 
SN2017ati            & IIb     & 09:49:56.7  & +67:10:59.56 & 0.013050 & 0.013050 & 56.47  & 21.94 & 0.106 & 8.34  & 0.03 & 0.04 & 0.224  & 0.036 & 0.097 & -8.96  & 0.02 & 0.33 
SN2017ays            & II      & 12:12:45.99 & +00:24:28.11 & 0.020515 & 0.020515 & 89.29  & 22.19 & 0.025 & 8.78  & 0.03 & 0.04 & 0.604  & 0.020 & 0.043 & -9.02  & 0.05 & 0.03 
SN2017bgu            & Ib      & 16:55:59.47 & +42:33:36.01 & 0.008503 & 0.008503 & 45.30  & 3.17  & 0.019 & 8.33  & 0.03 & 0.04 & 0.171  & 0.004 & 0.124 & -9.07  & 0.04 & 0.66 
SN2017byz            & II      & 11:23:30.78 & -08:39:11.84 & 0.012285 & 0.012285 & 58.52  & 4.10  & 0.037 & 10.27 & 0.01 & 0.06 & 6.310  & 0.001 & 1.832 & -9.50  & 0.01 & 0.10 
SN2017cat            & II      & 17:58:52.09 & +34:00:09.32 & 0.024894 & 0.024894 & 112.77 & 7.9   & 0.042 & 10.63 & 0.02 & 0.01 & 2.512  & 0.001 & 0.216 & -10.20 & 0.01 & 0.08 
SN2017cfa            & IIP     & 09:57:3.89  & -07:52:51.14 & 0.014063 & 0.014063 & 65.71  & 4.62  & 0.088 & 9.58  & 0.04 & 0.01 & 1.429  & 0.156 & 0.033 & -9.40  & 0.02 & 0.01 
SN2017cik            & IIn     & 07:54:13.07 & +21:47:36.49 & 0.015474 & 0.015474 & 67.08  & 22.02 & 0.054 & 8.48  & 0.09 & 0.01 & 0.129  & 0.093 & 0.003 & -9.39  & 0.14 & 0.01 
SN2017cjb            & II      & 12:53:50.45 & +09:42:17.70 & 0.009443 & 0.009443 & 47.67  & 3.34  & 0.020 & 9.95  & 0.04 & 0.02 & 2.553  & 0.024 & 0.475 & -9.60  & 0.04 & 0.08 
SN2017cjd            & Ic      & 11:50:30.17 & -18:35:44.96 & 0.023000 & 0.023000 & 100.30 & 22.27 & 0.032 & 8.89  & 0.08 & 0.01 & 0.687  & 0.046 & 0.426 & -9.10  & 0.01 & 0.49 
SN2017czd            & II      & 14:51:47.05 & +43:38:40.96 & 0.008410 & 0.008410 & 43.81  & 3.07  & 0.022 & 9.13  & 0.01 & 0.04 & 0.280  & 0.001 & 0.016 & -9.70  & 0.03 & 0.01 
SN2017dcc            & Ic      & 12:49:4.89  & -12:12:22.42 & 0.024500 & 0.024500 & 106.96 & 22.32 & 0.041 & 9.18  & 0.04 & 0.07 & 1.094  & 0.122 & 0.374 & -9.16  & 0.04 & 0.05 
SN2017ein            & Ic      & 11:52:53.25 & +44:07:26.20 & 0.002699 & 0.002699 & 16.20  & 1.14  & 0.019 & 9.60  & 0.01 & 0.26 & 1.016  & 0.028 & 0.409 & -9.60  & 0.01 & 0.01 
SN2017ewx            & Ib      & 14:02:16.52 & +07:40:44.21 & 0.015217 & 0.015217 & 74.44  & 5.21  & 0.024 & 10.39 & 0.03 & 0.06 & 0.356  & 0.090 & 0.039 & -10.84 & 0.13 & 0.06 
SN2017faa            & II      & 13:19:03.90 & -02:30:45.81 & 0.018480 & 0.018480 & 88.81  & 6.22  & 0.030 & 9.69  & 0.18 & 0.02 & 1.875  & 0.120 & 1.463 & -9.43  & 0.03 & 0.76 
SN2017fek            & IIb     & 20:21:47.44 & -10:43:53.27 & 0.033000 & 0.033000 & 145.01 & 22.61 & 0.066 & 10.04 & 0.10 & 0.15 & 2.410  & 1.146 & 0.764 & -9.71  & 0.34 & 0.26 
SN2017fem            & IIP     & 14:32:27.32 & +27:25:36.75 & 0.014337 & 0.014337 & 70.23  & 4.94  & 0.019 & 9.51  & 0.05 & 0.07 & 1.047  & 0.660 & 0.202 & -9.51  & 0.33 & 0.13 
SN2017gmr            & II      & 02:35:30.15 & -09:21:14.95 & 0.005037 & 0.005037 & 20.77  & 1.46  & 0.024 & 9.59  & 0.08 & 0.34 & 3.162  & 1.792 & 0.599 & -9.12  & 0.52 & 0.13 
SN2017grn            & II      & 23:31:53.6  & -05:00:43.40 & 0.017312 & 0.017312 & 73.59  & 5.15  & 0.040 & 10.87 & 0.01 & 0.01 & 0.575  & 0.761 & 0.074 & -11.14 & 0.44 & 0.06 
SN2017hca            & II      & 08:49:41.07 & -08:05:31.25 & 0.013403 & 0.013403 & 61.35  & 4.30  & 0.037 & 8.97  & 0.01 & 0.03 & 0.298  & 0.033 & 0.178 & -9.49  & 0.08 & 0.38 
SN2017hcc            & IIn     & 00:03:50.58 & -11:28:28.78 & 0.017300 & 0.017300 & 75.11  & 22.08 & 0.029 & 8.45  & 0.02 & 0.03 & 0.500  & 0.012 & 0.090 & -8.74  & 0.02 & 0.10 
SN2017hcd            & IIn     & 01:42:51.83 & +31:28:56.57 & 0.034847 & 0.034847 & 146.17 & 10.23 & 0.054 & 9.97  & 0.01 & 0.01 & 2.512  & 0.106 & 0.097 & -9.60  & 0.02 & 0.02 
SN2017hky            & II      & 11:23:30.51 & +63:21:59.43 & 0.009725 & 0.009725 & 47.44  & 3.32  & 0.011 & 8.75  & 0.18 & 0.01 & 0.070  & 0.002 & 0.030 & -9.90  & 0.01 & 0.33 
SN2017iro            & Ib/c    & 14:06:23.11 & +50:43:20.20 & 0.006191 & 0.006191 & 34.32  & 2.40  & 0.016 & 10.01 & 0.04 & 0.14 & 0.859  & 0.305 & 0.170 & -10.09 & 0.21 & 0.07 
SN2017ivu            & IIP     & 15:36:32.7  & +16:36:19.40 & 0.006528 & 0.006528 & 35.70  & 2.50  & 0.048 & 10.10 & 0.05 & 0.03 & 2.239  & 0.440 & 0.031 & -9.80  & 0.10 & 0.01 
SN2017jbj            & II      & 00:48:5.42  & -02:47:22.40 & 0.013492 & 0.013492 & 56.42  & 3.95  & 0.040 & 10.76 & 0.01 & 0.12 & 2.280  & 0.158 & 0.873 & -10.38 & 0.06 & 0.24 
