sn & class & ra & dec & z_sn & z_host & distance & distance_err & ebv & mass & mass_plus_er & mass_minus_er & sfr & sfr_plus_er & sfr_minus_er & ssfr & ssfr_plus_er & ssfr_minus_er
15mj                 & Ib      & 14:02:15.64 & +33:39:40.29 & 0.034    & 0.0344   & 155.0  & 10.9  & 0.013 & 9.38  & 0.04 & 0.02 & 0.566  & 0.618 & 0.102 & -9.63  & 0.34 & 0.16 
15mm                 & II      & 15:25:23.50 & +29:10:24.50 & 0.021    & 0.0215   & 100.5  & 7.1   & 0.021 & 9.53  & 0.04 & 0.16 & 0.386  & 0.281 & 0.149 & -9.96  & 0.41 & 0.09 
15no                 & Ic      & 15:38:25.30 & +46:54:06.60 & 0.043    & 0.03638  & 160.3  & 12.8  & 0.015 & 8.46  & 0.09 & 0.03 & 0.351  & 0.022 & 0.215 & -8.88  & 0.03 & 0.55 
15nx                 & II-pec  & 04:43:53.19 & -09:42:11.22 & 0.026    & 0.02823  & 123.6  & 9.9   & 0.074 & 8.99  & 0.09 & 0.16 & 0.264  & 0.068 & 0.131 & -9.61  & 0.22 & 0.31 
15ov                 & II      & 03:30:59.15 & -18:33:23.19 & 0.025    & 0.0255   & 106.7  & 7.5   & 0.034 & 9.46  & 0.01 & 0.03 & 1.807  & 0.038 & 0.061 & -9.20  & 0.01 & 0.01 
15qh                 & II      & 22:45:13.22 & -22:43:39.82 & 0.010    & 0.0102   & 45.0   & 3.2   & 0.026 & 9.93  & 0.01 & 0.18 & 0.519  & 1.715 & 0.012 & -10.29 & 0.88 & 0.01 
15rb                 & IIn     & 10:08:08.24 & +19:17:59.38 & 0.034    & 0.0336   & 149.0  & 10.4  & 0.023 & 8.01  & 0.03 & 0.18 & 0.015  & 0.001 & 0.006 & -9.88  & 0.09 & 0.08 
15tm                 & IIP     & 23:27:35.60 & +29:24:31.17 & 0.016    & --       & 69.4   & 21.9  & 0.116 & 9.18  & 0.07 & 0.09 & 0.123  & 0.013 & 0.016 & -10.13 & 0.12 & 0.05 
15tw                 & IIP     & 12:50:28.05 & -10:50:29.15 & 0.008    & 0.0080   & 36.7   & 2.6   & 0.040 & 9.52  & 0.05 & 0.03 & 0.510  & 0.001 & 0.012 & -9.80  & 0.02 & 0.04 
15ua                 & IIn     & 13:34:54.47 & +10:59:04.69 & 0.061    & --       & 273.7  & 23.4  & 0.026 & 8.55  & 0.16 & 0.14 & 0.143  & 0.065 & 0.049 & -9.42  & 0.27 & 0.29 
15ug                 & II      & 06:45:01.68 & +63:14:59.89 & 0.022    & 0.0221   & 96.3   & 7.7   & 0.077 & 7.44  & 0.08 & 0.18 & 0.032  & 0.009 & 0.030 & -8.96  & 0.27 & 1.28 
15un                 & II      & 02:40:41.38 & +16:49:51.82 & 0.029    & 0.0292   & 121.7  & 8.5   & 0.074 & 9.61  & 0.01 & 0.04 & 3.304  & 0.277 & 0.319 & -9.01  & 0.01 & 0.06 
15uo                 & IIn-pec & 01:17:00.00 & -04:56:34.10 & 0.038    & --       & 167.6  & 22.6  & 0.040 & 8.76  & 0.07 & 0.27 & 0.399  & 0.143 & 0.047 & -9.18  & 0.40 & 0.11 
15uy                 & IIb     & 14:32:15.31 & +26:19:32.02 & 0.016    & 0.0160   & 77.5   & 5.5   & 0.017 & 9.35  & 0.10 & 0.04 & 0.762  & 0.113 & 0.106 & -9.46  & 0.05 & 0.14 
16ab                 & II      & 11:55:04.25 & +01:43:06.77 & 0.004    & 0.0043   & 26.0   & 1.9   & 0.019 & 7.85  & 0.01 & 0.01 & 0.159  & 0.007 & 0.001 & -8.70  & 0.07 & 0.01 
16ai                 & IIP     & 14:39:44.73 & +23:23:43.27 & 0.015    & 0.0149   & 72.8   & 5.1   & 0.028 & 8.12  & 0.01 & 0.01 & 0.007  & 0.006 & 0.001 & -10.29 & 0.28 & 0.01 
16al                 & IIP     & 15:00:27.47 & -13:33:09.00 & 0.009    & 0.0093   & 44.2   & 3.1   & 0.088 & 7.52  & 0.05 & 0.14 & 0.552  & 0.176 & 0.107 & -7.75  & 0.13 & 0.09 
16am                 & II      & 04:45:21.28 & +73:23:41.09 & 0.015    & 0.0150   & 66.3   & 4.7   & 0.151 & 10.41 & 0.10 & 0.05 & 0.001  & 0.001 & 0.001 & -13.90 & 0.66 & 0.15 
16at                 & II      & 12:55:15.50 & +00:05:59.70 & 0.004    & 0.0044   & 26.7   & 1.9   & 0.020 & 9.30  & 0.01 & 0.01 & 0.794  & 0.001 & 0.001 & -9.40  & 0.01 & 0.01 
16ba                 & II      & 09:42:29.22 & -16:58:26.88 & 0.014    & 0.0139   & 64.6   & 4.5   & 0.058 & 9.26  & 0.03 & 0.05 & 0.316  & 0.031 & 0.029 & -9.72  & 0.01 & 0.03 
