Title: The Palomar Transient Factory Core-Collapse Supernova Host-Galaxy 
       Sample.I. Host-Galaxy Distribution Functions and Environment 
       Dependence of CCSNe 
Authors: Schulze S., Yaron O., Sollerman J., Leloudas G., Gal A., Wright A.H., 
         Lunnan R., Gal-Yam A., Ofek E.O., Perley D.A., Filippenko A.V.,
         Kasliwal M.M., Kulkarni S.R., Neill J.D., Nugent P.E., Quimby R.M.,
         Sullivan M., Strothjohann N.L., Arcavi I., Ben-Ami S., Bianco F., 
         Bloom J.S., De K., Fraser M., Fremling C.U., Horesh A., Johansson J.,
         Kelly P.L., Knevzevic N., Knevzevic S., Maguire K., Nyholm A., 
         Papadogiannakis S., Petrushevska T., Rubin A., Yan L., Yang Y.,
         Adams S.M., Bufano F., Clubb K.I., Foley R.J., Green Y., Harmanen J.,
         Ho A.Y.Q., Hook I.M., Hosseinzadeh G., Howell D.A., Kong A.K.H., 
         Kotak R., Matheson T., McCully C., Milisavljevic D., Pan Y.-C., 
         Poznanski D., Shivvers I., Velzen S.v., Verbeek K.K. 
Table: Photometry of the PTF CCSN host galaxies
================================================================================
Byte-by-byte Description of file: apjsabff5et9_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label    Explanations
--------------------------------------------------------------------------------
   1-  9 A9     ---     ID       Object identifier
  11- 19 A9     ---     Tel/Sur  Telescope/Survey designation
  21- 29 A9     ---     Inst     Instrument 
  31- 35 A5     ---     Filter   Filter
  37- 41 F5.2   mag     mag      Observed AB magnitude in Filter (1)
  43- 48 F6.2   mag   e_mag      ?=-99 Uncertainty in mag
  50- 76 A27    ---     Ref      Reference; This paper or ADS bibcode
--------------------------------------------------------------------------------
Note (1): Not corrected for reddening.
--------------------------------------------------------------------------------
PTF10acsq SDSS                r     22.24   0.19 This paper                  
PTF10acsq SDSS                i     22.02   0.23 This paper                  
PTF10acsq SDSS                z     20.66   0.25 This paper                  
PTF10ad   GALEX               NUV   22.04   0.16 This paper                  
PTF10ad   SDSS                u     21.32   0.3  This paper                  
PTF10ad   SDSS                g     20.51   0.09 This paper                  
PTF10ad   SDSS                r     19.97   0.06 This paper                  
PTF10ad   SDSS                i     19.77   0.1  This paper                  
PTF10ad   SDSS                z     19.46   0.15 This paper                  
PTF10ad   PANSTARRS           g     20.45   0.07 This paper                  
PTF10ad   PANSTARRS           r     20.02   0.07 This paper                  
PTF10ad   PANSTARRS           i     19.77   0.08 This paper                  
PTF10ad   PANSTARRS           z     19.57   0.09 This paper                  
PTF10ad   PANSTARRS           y     19.52   0.21 This paper                  
PTF10ad   WISE                W1    19.6    0.16 This paper                  
PTF10ad   WISE                W2    19.81   0.19 This paper                  
PTF10bau  SDSS                u     15.46   0.05 This paper                  
PTF10bau  SDSS                g     14.4    0.05 This paper                  
PTF10bau  SDSS                r     13.88   0.05 This paper                  
PTF10bau  SDSS                i     13.62   0.05 This paper                  
PTF10bau  SDSS                z     13.39   0.05 This paper                  
PTF10bau  PANSTARRS           g     14.32   0.05 This paper                  
PTF10bau  PANSTARRS           r     13.9    0.05 This paper                  
PTF10bau  PANSTARRS           i     13.69   0.05 This paper                  
PTF10bau  PANSTARRS           z     13.51   0.05 This paper                  
PTF10bau  PANSTARRS           y     13.32   0.05 This paper                  
PTF10bau  2MASS               J     13.13   0.07 This paper                  
PTF10bau  2MASS               H     13.15   0.07 This paper                  
PTF10bau  2MASS               Ks    13.05   0.11 This paper                  
PTF10bau  WISE                W1    13.46   0.1  This paper                  
PTF10bau  WISE                W2    13.96   0.1  This paper                  
PTF10bfz  Keck      LRIS      u     22.54   0.09 [2016ApJ...830...13P]      
PTF10bfz  SDSS                g     22.1    0.15 [2016ApJ...830...13P]      
PTF10bfz  SDSS                r     21.85   0.15 [2016ApJ...830...13P]      
PTF10bfz  Keck      LRIS      i     21.8    0.06 [2016ApJ...830...13P]      
PTF10bfz  Keck      LRIS      B     22.47   0.06 [2016ApJ...830...13P]      
PTF10bfz  Keck      LRIS      R     21.96   0.06 [2016ApJ...830...13P]      
PTF10bfz  Keck      MOSFIRE   J     21.92   0.12 [2016ApJ...830...13P]      
PTF10bfz  Keck      MOSFIRE   H     21.7    0.16 [2016ApJ...830...13P]      
PTF10bfz  P200      WIRC      Ks    21.4    0.23 [2016ApJ...830...13P]      
PTF10bgl  GALEX               FUV   16.14   0.14 This paper                  
PTF10bgl  GALEX               NUV   15.68   0.11 This paper                  
PTF10bgl  SDSS                u     14.95   0.05 This paper                  
PTF10bgl  SDSS                g     13.96   0.05 This paper                  
PTF10bgl  SDSS                r     13.58   0.05 This paper                  
PTF10bgl  SDSS                i     13.34   0.05 This paper                  
PTF10bgl  SDSS                z     13.22   0.05 This paper                  
PTF10bgl  PANSTARRS           g     13.96   0.05 This paper                  
PTF10bgl  PANSTARRS           r     13.62   0.05 This paper                  
PTF10bgl  PANSTARRS           i     13.45   0.05 This paper                  
PTF10bgl  PANSTARRS           z     13.33   0.05 This paper                  
PTF10bgl  PANSTARRS           y     13.12   0.05 This paper                  
PTF10bgl  2MASS               J     12.85   0.07 This paper                  
PTF10bgl  2MASS               H     12.95   0.07 This paper                  
PTF10bgl  2MASS               Ks    13.05   0.11 This paper                  
PTF10bgl  WISE                W1    13.34   0.1  This paper                  
PTF10bgl  WISE                W2    13.75   0.1  This paper                  
PTF10bhu  GALEX               FUV   19.3    0.15 This paper                  
PTF10bhu  GALEX               NUV   18.74   0.11 This paper                  
PTF10bhu  SDSS                u     18.15   0.07 This paper                  
PTF10bhu  SDSS                g     17.02   0.05 This paper                  
PTF10bhu  SDSS                r     16.63   0.05 This paper                  
PTF10bhu  SDSS                i     16.39   0.05 This paper                  
PTF10bhu  SDSS                z     16.22   0.06 This paper                  
PTF10bhu  PANSTARRS           g     17.0    0.05 This paper                  
PTF10bhu  PANSTARRS           r     16.6    0.05 This paper                  
PTF10bhu  PANSTARRS           i     16.4    0.05 This paper                  
PTF10bhu  PANSTARRS           z     16.31   0.06 This paper                  
PTF10bhu  PANSTARRS           y     16.15   0.07 This paper                  
PTF10bhu  2MASS               J     15.96   0.12 This paper                  
PTF10bhu  2MASS               H     15.64   0.14 This paper                  
PTF10bhu  2MASS               Ks    16.17   0.22 This paper                  
PTF10bhu  WISE                W1    16.77   0.1  This paper                  
PTF10bhu  WISE                W2    17.39   0.11 This paper                  
PTF10bip  SDSS                g     18.98   0.05 This paper                  
PTF10bip  SDSS                r     18.69   0.06 This paper                  
PTF10bip  SDSS                i     18.46   0.06 This paper                  
PTF10bip  SDSS                z     18.26   0.09 This paper                  
PTF10bip  PANSTARRS           g     18.99   0.05 This paper                  
PTF10bip  PANSTARRS           r     18.66   0.05 This paper                  
PTF10bip  PANSTARRS           i     18.46   0.05 This paper                  
PTF10bip  PANSTARRS           z     18.37   0.05 This paper                  
PTF10bip  PANSTARRS           y     18.32   0.08 This paper                  
PTF10bjb  GALEX               FUV   20.34   0.25 This paper                  
PTF10bjb  GALEX               NUV   19.89   0.12 This paper                  
PTF10bjb  PANSTARRS           g     18.46   0.22 This paper                  
PTF10bjb  PANSTARRS           r     17.73   0.18 This paper                  
PTF10bjb  PANSTARRS           i     17.59   0.23 This paper                  
PTF10bjb  PANSTARRS           z     17.36   0.18 This paper                  
PTF10bjb  PANSTARRS           y     17.13   0.15 This paper                  
PTF10bjb  2MASS               J     16.68   0.07 This paper                  
PTF10bjb  2MASS               H     16.57   0.1  This paper                  
PTF10bjb  2MASS               Ks    16.27   0.14 This paper                  
PTF10bjb  WISE                W1    16.52   0.22 This paper                  
PTF10bjb  WISE                W2    16.93   0.24 This paper                  
PTF10bjp  Keck      LRIS      u     23.51   0.09 [2016ApJ...830...13P]      
PTF10bjp  Keck      LRIS      i     22.3    0.08 [2016ApJ...830...13P]      
PTF10bjp  Keck      LRIS      z     22.0    0.07 [2016ApJ...830...13P]      
PTF10bjp  Keck      LRIS      B     23.52   0.12 [2016ApJ...830...13P]      
PTF10bjp  Keck      LRIS      V     22.76   0.07 [2016ApJ...830...13P]      
PTF10bjp  Keck      LRIS      R     22.5    0.12 [2016ApJ...830...13P]      
PTF10bjp  Keck      MOSFIRE   J     22.05   0.17 [2016ApJ...830...13P]      
PTF10bjp  Keck      MOSFIRE   H     22.02   0.18 [2016ApJ...830...13P]      
PTF10bjp  Keck      MOSFIRE   Ks    21.58   0.16 [2016ApJ...830...13P]      
PTF10bld  SDSS                u     18.83   0.07 This paper                  
PTF10bld  SDSS                g     17.89   0.05 This paper                  
PTF10bld  SDSS                r     17.43   0.05 This paper                  
PTF10bld  SDSS                i     17.2    0.05 This paper                  
PTF10bld  SDSS                z     17.01   0.06 This paper                  
PTF10bld  PANSTARRS           g     17.87   0.05 This paper                  
PTF10bld  PANSTARRS           r     17.44   0.05 This paper                  
PTF10bld  PANSTARRS           i     17.23   0.05 This paper                  
PTF10bld  PANSTARRS           z     17.17   0.05 This paper                  
PTF10bld  PANSTARRS           y     16.99   0.06 This paper                  
PTF10bld  2MASS               J     17.03   0.13 This paper                  
PTF10bld  2MASS               H     16.45   0.12 This paper                  
PTF10bld  2MASS               Ks    17.1    0.22 This paper                  
PTF10bwo  SDSS                u     18.75   0.08 This paper                  
PTF10bwo  SDSS                i     16.82   0.19 This paper                  
PTF10bwo  SDSS                z     16.45   0.15 This paper                  
PTF10bwo  PANSTARRS           g     17.48   0.06 This paper                  
PTF10bwo  PANSTARRS           r     16.94   0.06 This paper                  
PTF10bwo  PANSTARRS           i     16.72   0.06 This paper                  
PTF10bwo  PANSTARRS           z     16.58   0.08 This paper                  
PTF10bwo  PANSTARRS           y     16.45   0.1  This paper                  
PTF10bwo  2MASS               H     16.39   0.21 This paper                  
PTF10bwo  2MASS               Ks    16.4    0.2  This paper                  
PTF10bwo  WISE                W1    16.72   0.12 This paper                  
PTF10bwo  WISE                W2    17.16   0.12 This paper                  
PTF10bzf  GALEX               FUV   21.38   0.31 This paper                  
PTF10bzf  GALEX               NUV   21.57   0.14 This paper                  
PTF10bzf  SDSS                u     19.93   0.11 This paper                  
PTF10bzf  SDSS                g     19.56   0.06 This paper                  
PTF10bzf  SDSS                r     19.14   0.07 This paper                  
PTF10bzf  SDSS                i     18.81   0.07 This paper                  
PTF10bzf  SDSS                z     18.34   0.21 This paper                  
PTF10bzf  PANSTARRS           g     19.55   0.08 This paper                  
PTF10bzf  PANSTARRS           r     19.19   0.09 This paper                  
PTF10bzf  PANSTARRS           i     19.03   0.08 This paper                  
PTF10bzf  PANSTARRS           z     18.85   0.08 This paper                  
PTF10bzf  PANSTARRS           y     18.93   0.22 This paper                  
PTF10bzf  2MASS               J     19.06   0.47 This paper                  
PTF10bzf  2MASS               H     18.76   0.38 This paper                  
PTF10bzf  2MASS               Ks    19.13   0.46 This paper                  
PTF10bzf  WISE                W1    19.4    0.44 This paper                  
PTF10cd   GALEX               FUV   20.96   0.38 This paper                  
PTF10cd   GALEX               NUV   20.64   0.22 This paper                  
PTF10cd   SDSS                u     20.18   0.18 This paper                  
PTF10cd   SDSS                g     19.5    0.09 This paper                  
PTF10cd   SDSS                r     19.07   0.1  This paper                  
PTF10cd   SDSS                i     18.69   0.1  This paper                  
PTF10cd   SDSS                z     18.74   0.2  This paper                  
PTF10cd   PANSTARRS           g     19.57   0.08 This paper                  
PTF10cd   PANSTARRS           r     19.22   0.08 This paper                  
PTF10cd   PANSTARRS           i     19.08   0.1  This paper                  
PTF10cd   PANSTARRS           z     18.84   0.19 This paper                  
PTF10cd   PANSTARRS           y     18.77   0.21 This paper                  
PTF10cd   2MASS               Ks    18.42   0.32 This paper                  
PTF10cd   WISE                W1    18.7    0.21 This paper                  
PTF10cd   WISE                W2    19.23   0.2  This paper                  
PTF10ciw  GALEX               NUV   21.4    0.12 This paper                  
PTF10ciw  SDSS                u     20.82   0.14 This paper                  
PTF10ciw  SDSS                g     19.84   0.06 This paper                  
PTF10ciw  SDSS                r     19.36   0.06 This paper                  
PTF10ciw  SDSS                i     19.02   0.06 This paper                  
PTF10ciw  SDSS                z     18.92   0.1  This paper                  
PTF10ciw  PANSTARRS           g     19.78   0.06 This paper                  
PTF10ciw  PANSTARRS           r     19.43   0.05 This paper                  
PTF10ciw  PANSTARRS           i     19.14   0.06 This paper                  
PTF10ciw  PANSTARRS           z     19.34   0.12 This paper                  
PTF10ciw  PANSTARRS           y     18.98   0.1  This paper                  
PTF10ciw  2MASS               J     19.09   0.42 This paper                  
PTF10ciw  2MASS               Ks    18.83   0.39 This paper                  
PTF10con  SDSS                u     18.73   0.15 This paper                  
PTF10con  SDSS                g     17.41   0.06 This paper                  
PTF10con  SDSS                r     16.62   0.06 This paper                  
PTF10con  SDSS                i     15.77   0.05 This paper                  
PTF10con  SDSS                z     15.81   0.06 This paper                  
PTF10con  PANSTARRS           g     17.33   0.07 This paper                  
PTF10con  PANSTARRS           r     16.6    0.06 This paper                  
PTF10con  PANSTARRS           i     16.17   0.06 This paper                  
PTF10con  PANSTARRS           z     15.92   0.06 This paper                  
PTF10con  PANSTARRS           y     15.37   0.06 This paper                  
PTF10con  WISE                W1    15.49   0.53 This paper                  
PTF10con  WISE                W2    15.93   0.42 This paper                  
PTF10cqh  SDSS                u     17.0    0.06 This paper                  
PTF10cqh  SDSS                g     15.63   0.05 This paper                  
PTF10cqh  SDSS                r     14.92   0.05 This paper                  
PTF10cqh  SDSS                i     14.5    0.05 This paper                  
PTF10cqh  SDSS                z     14.2    0.05 This paper                  
PTF10cqh  PANSTARRS           g     15.56   0.05 This paper                  
PTF10cqh  PANSTARRS           r     14.92   0.05 This paper                  
PTF10cqh  PANSTARRS           i     14.58   0.05 This paper                  
PTF10cqh  PANSTARRS           z     14.31   0.05 This paper                  
PTF10cqh  PANSTARRS           y     14.03   0.05 This paper                  
PTF10cqh  2MASS               J     13.75   0.07 This paper                  
PTF10cqh  2MASS               H     13.52   0.07 This paper                  
PTF10cqh  2MASS               Ks    13.61   0.11 This paper                  
PTF10cqh  WISE                W1    14.04   0.1  This paper                  
PTF10cqh  WISE                W2    14.5    0.1  This paper                  
PTF10cs   PANSTARRS           g     19.81   0.09 This paper                  
PTF10cs   PANSTARRS           r     19.51   0.08 This paper                  
PTF10cs   PANSTARRS           i     19.4    0.09 This paper                  
PTF10cs   PANSTARRS           z     19.27   0.1  This paper                  
PTF10cs   PANSTARRS           y     19.24   0.36 This paper                  
PTF10cs   2MASS               Ks    18.59   0.34 This paper                  
PTF10cs   WISE                W1    19.91   0.64 This paper                  
PTF10cs   WISE                W2    20.02 -99.0  This paper                  
PTF10cwl  CFHT      MegaPrime u     21.06   0.05 This paper                  
PTF10cwl  CFHT      MegaPrime g     20.3    0.05 This paper                  
PTF10cwl  CFHT      MegaPrime r     20.17   0.05 This paper                  
PTF10cwl  CFHT      MegaPrime i     19.88   0.05 This paper                  
PTF10cwl  CFHT      MegaPrime z     20.02   0.06 This paper                  
PTF10cwr  Gemini-S  GMOS      g     23.64   0.06 [2018MNRAS.473.1258S] 
PTF10cwr  Gemini-S  GMOS      r     22.93   0.06 [2018MNRAS.473.1258S] 
PTF10cwr  Gemini-S  GMOS      i     22.94   0.08 [2018MNRAS.473.1258S] 
PTF10cwr  Gemini-S  GMOS      z     23.25   0.21 [2018MNRAS.473.1258S] 
PTF10cwr  Magellan  FourStar  J     22.95   0.05 [2014ApJ...787...13L]8     
PTF10cwx  GALEX               FUV   20.41   0.12 This paper                  
PTF10cwx  GALEX               NUV   20.27   0.11 This paper                  
PTF10cwx  SDSS                u     19.88   0.09 This paper                  
PTF10cwx  SDSS                g     19.02   0.06 This paper                  
PTF10cwx  SDSS                r     18.78   0.06 This paper                  
PTF10cwx  SDSS                i     18.48   0.06 This paper                  
PTF10cwx  SDSS                z     18.51   0.12 This paper                  
PTF10cwx  PANSTARRS           g     18.99   0.06 This paper                  
PTF10cwx  PANSTARRS           r     18.8    0.06 This paper                  
PTF10cwx  PANSTARRS           i     18.53   0.06 This paper                  
PTF10cwx  PANSTARRS           z     18.55   0.07 This paper                  
PTF10cwx  PANSTARRS           y     18.41   0.08 This paper                  
PTF10cwx  2MASS               H     17.53   0.55 This paper                  
PTF10cxq  GALEX               FUV   19.52   0.19 This paper                  
PTF10cxq  GALEX               NUV   19.35   0.12 This paper                  
PTF10cxq  SDSS                u     18.92   0.06 This paper                  
PTF10cxq  SDSS                g     18.04   0.05 This paper                  
PTF10cxq  SDSS                r     17.86   0.05 This paper                  
PTF10cxq  SDSS                i     17.65   0.05 This paper                  
PTF10cxq  SDSS                z     17.61   0.07 This paper                  
PTF10cxq  PANSTARRS           g     18.14   0.05 This paper                  
PTF10cxq  PANSTARRS           r     17.9    0.06 This paper                  
PTF10cxq  PANSTARRS           i     17.77   0.06 This paper                  
PTF10cxq  PANSTARRS           z     17.67   0.06 This paper                  
PTF10cxq  PANSTARRS           y     17.33   0.09 This paper                  
PTF10cxq  2MASS               J     17.08   0.47 This paper                  
PTF10cxq  2MASS               H     17.76   0.52 This paper                  
PTF10cxq  2MASS               Ks    17.84   0.41 This paper                  
PTF10cxq  WISE                W1    18.16   0.13 This paper                  
PTF10cxx  SDSS                u     17.82   0.06 This paper                  
PTF10cxx  SDSS                g     16.35   0.05 This paper                  
PTF10cxx  SDSS                r     15.67   0.05 This paper                  
PTF10cxx  SDSS                i     15.31   0.05 This paper                  
PTF10cxx  SDSS                z     15.04   0.06 This paper                  
PTF10cxx  PANSTARRS           g     16.28   0.05 This paper                  
PTF10cxx  PANSTARRS           r     15.65   0.05 This paper                  
PTF10cxx  PANSTARRS           i     15.33   0.05 This paper                  
PTF10cxx  PANSTARRS           z     15.12   0.05 This paper                  
PTF10cxx  PANSTARRS           y     14.86   0.05 This paper                  
PTF10cxx  2MASS               J     14.84   0.07 This paper                  
PTF10cxx  2MASS               H     14.52   0.07 This paper                  
PTF10cxx  2MASS               Ks    14.83   0.11 This paper                  
PTF10cxx  WISE                W1    15.17   0.1  This paper                  
PTF10cxx  WISE                W2    15.71   0.1  This paper                  
PTF10czn  SDSS                u     16.56   0.06 This paper                  
PTF10czn  SDSS                g     15.34   0.05 This paper                  
PTF10czn  SDSS                r     14.87   0.05 This paper                  
PTF10czn  SDSS                i     14.56   0.05 This paper                  
PTF10czn  SDSS                z     14.38   0.06 This paper                  
PTF10czn  PANSTARRS           g     15.33   0.06 This paper                  
PTF10czn  PANSTARRS           r     14.86   0.05 This paper                  
PTF10czn  PANSTARRS           i     14.63   0.06 This paper                  
PTF10czn  PANSTARRS           z     14.49   0.06 This paper                  
PTF10czn  PANSTARRS           y     14.37   0.08 This paper                  
PTF10czn  2MASS               J     14.17   0.07 This paper                  
PTF10czn  2MASS               H     13.87   0.07 This paper                  
PTF10czn  2MASS               Ks    14.12   0.11 This paper                  
PTF10czn  WISE                W1    14.63   0.1  This paper                  
PTF10czn  WISE                W2    15.19   0.1  This paper                  
PTF10dk   SDSS                u     23.0    0.91 This paper                  
PTF10dk   SDSS                g     21.85   0.1  This paper                  
PTF10dk   SDSS                r     21.3    0.1  This paper                  
PTF10dk   SDSS                i     21.3    0.17 This paper                  
PTF10dk   PANSTARRS           g     22.2    0.14 This paper                  
PTF10dk   PANSTARRS           r     21.47   0.09 This paper                  
PTF10dk   PANSTARRS           i     21.33   0.09 This paper                  
PTF10dk   PANSTARRS           z     21.34   0.13 This paper                  
PTF10dk   PANSTARRS           y     21.76   0.48 This paper                  
PTF10dvb  SDSS                u     15.78   0.05 This paper                  
PTF10dvb  SDSS                g     14.73   0.05 This paper                  
PTF10dvb  SDSS                r     14.28   0.05 This paper                  
PTF10dvb  SDSS                i     14.01   0.05 This paper                  
PTF10dvb  SDSS                z     13.79   0.05 This paper                  
PTF10dvb  PANSTARRS           g     14.72   0.05 This paper                  
PTF10dvb  PANSTARRS           r     14.28   0.05 This paper                  
PTF10dvb  PANSTARRS           i     14.12   0.05 This paper                  
PTF10dvb  PANSTARRS           z     13.96   0.05 This paper                  
PTF10dvb  PANSTARRS           y     13.72   0.06 This paper                  
PTF10dvb  2MASS               J     13.6    0.07 This paper                  
PTF10dvb  2MASS               H     13.27   0.07 This paper                  
PTF10dvb  2MASS               Ks    13.41   0.11 This paper                  
PTF10dvb  WISE                W1    13.88   0.1  This paper                  
PTF10dvb  WISE                W2    14.36   0.1  This paper                  
PTF10ehy  GALEX               FUV   17.2    0.12 This paper                  
PTF10ehy  GALEX               NUV   16.86   0.1  This paper                  
PTF10ehy  SDSS                u     16.36   0.06 This paper                  
PTF10ehy  SDSS                g     15.51   0.05 This paper                  
PTF10ehy  SDSS                r     15.24   0.05 This paper                  
PTF10ehy  SDSS                i     15.09   0.06 This paper                  
PTF10ehy  SDSS                z     14.93   0.08 This paper                  
PTF10ehy  PANSTARRS           g     15.53   0.06 This paper                  
PTF10ehy  PANSTARRS           r     15.39   0.06 This paper                  
PTF10ehy  PANSTARRS           i     15.1    0.07 This paper                  
PTF10ehy  PANSTARRS           z     14.99   0.08 This paper                  
PTF10ehy  PANSTARRS           y     14.69   0.12 This paper                  
PTF10ehy  2MASS               J     14.82   0.1  This paper                  
PTF10ehy  2MASS               H     15.17   0.18 This paper                  
PTF10ehy  2MASS               Ks    15.28   0.23 This paper                  
PTF10ehy  WISE                W1    15.66   0.12 This paper                  
PTF10ehy  WISE                W2    16.14   0.12 This paper                  
PTF10eoo  SDSS                g     24.41 -99.0  This paper                  
PTF10eoo  SDSS                r     24.09   1.08 This paper                  
PTF10eoo  SDSS                i     24.59   1.93 This paper                  
PTF10eoo  SDSS                z     22.74 -99.0  This paper                  
PTF10eqe  SDSS                u     18.75   0.06 This paper                  
PTF10eqe  SDSS                g     17.79   0.05 This paper                  
PTF10eqe  SDSS                r     17.36   0.05 This paper                  
PTF10eqe  SDSS                i     17.1    0.05 This paper                  
PTF10eqe  SDSS                z     16.99   0.07 This paper                  
PTF10eqe  PANSTARRS           g     17.71   0.07 This paper                  
PTF10eqe  PANSTARRS           r     17.37   0.06 This paper                  
PTF10eqe  PANSTARRS           i     17.13   0.05 This paper                  
PTF10eqe  PANSTARRS           z     17.04   0.06 This paper                  
PTF10eqe  PANSTARRS           y     16.85   0.08 This paper                  
PTF10eqe  2MASS               J     16.54   0.12 This paper                  
PTF10eqe  2MASS               H     16.34   0.15 This paper                  
PTF10eqe  2MASS               Ks    16.97   0.28 This paper                  
PTF10eqe  WISE                W1    17.33   0.11 This paper                  
PTF10eqe  WISE                W2    17.86   0.11 This paper                  
PTF10eqi  SDSS                u     15.42   0.1  This paper                  
PTF10eqi  SDSS                g     14.13   0.05 This paper                  
PTF10eqi  SDSS                r     13.51   0.05 This paper                  
PTF10eqi  SDSS                i     13.13   0.05 This paper                  
PTF10eqi  SDSS                z     12.93   0.06 This paper                  
PTF10eqi  PANSTARRS           g     14.19   0.06 This paper                  
PTF10eqi  PANSTARRS           r     13.52   0.06 This paper                  
PTF10eqi  PANSTARRS           i     13.28   0.05 This paper                  
PTF10eqi  PANSTARRS           z     13.09   0.06 This paper                  
PTF10eqi  PANSTARRS           y     12.89   0.08 This paper                  
PTF10eqi  2MASS               J     12.57   0.07 This paper                  
PTF10eqi  2MASS               H     12.45   0.07 This paper                  
PTF10eqi  2MASS               Ks    12.49   0.11 This paper                  
PTF10eqi  WISE                W1    13.19   0.1  This paper                  
PTF10eqi  WISE                W2    13.82   0.1  This paper                  
PTF10eqz  GALEX               FUV   18.56   0.15 This paper                  
PTF10eqz  GALEX               NUV   18.06   0.11 This paper                  
PTF10eqz  PANSTARRS           g     16.28   0.05 This paper                  
PTF10eqz  PANSTARRS           r     15.8    0.05 This paper                  
PTF10eqz  PANSTARRS           i     15.59   0.05 This paper                  
PTF10eqz  PANSTARRS           z     15.54   0.05 This paper                  
PTF10eqz  PANSTARRS           y     15.39   0.08 This paper                  
PTF10eqz  2MASS               J     15.29   0.07 This paper                  
PTF10eqz  2MASS               H     14.97   0.07 This paper                  
PTF10eqz  2MASS               Ks    15.12   0.14 This paper                  
PTF10eqz  WISE                W1    15.81   0.1  This paper                  
PTF10eqz  WISE                W2    16.36   0.11 This paper                  
PTF10ewc  GALEX               FUV   21.26   0.48 This paper                  
PTF10ewc  GALEX               NUV   20.61   0.15 This paper                  
PTF10ewc  SDSS                u     20.27   0.17 This paper                  
PTF10ewc  SDSS                g     19.18   0.06 This paper                  
PTF10ewc  SDSS                r     18.98   0.06 This paper                  
PTF10ewc  SDSS                i     18.62   0.08 This paper                  
PTF10ewc  SDSS                z     18.47   0.16 This paper                  
PTF10ewc  PANSTARRS           g     19.23   0.09 This paper                  
PTF10ewc  PANSTARRS           r     19.36   0.14 This paper                  
PTF10ewc  PANSTARRS           i     18.67   0.07 This paper                  
PTF10ewc  PANSTARRS           z     18.71   0.12 This paper                  
PTF10ewc  PANSTARRS           y     18.33   0.16 This paper                  
PTF10ewc  2MASS               J     18.19   0.28 This paper                  
PTF10ewc  2MASS               H     17.74   0.32 This paper                  
PTF10ewc  2MASS               Ks    18.22   0.38 This paper                  
PTF10fbv  GALEX               FUV   18.79   0.15 This paper                  
PTF10fbv  GALEX               NUV   18.02   0.11 This paper                  
PTF10fbv  PANSTARRS           g     15.98   0.06 This paper                  
PTF10fbv  PANSTARRS           r     15.49   0.05 This paper                  
PTF10fbv  PANSTARRS           i     15.26   0.05 This paper                  
PTF10fbv  PANSTARRS           z     15.07   0.05 This paper                  
PTF10fbv  PANSTARRS           y     14.93   0.07 This paper                  
PTF10fbv  2MASS               J     14.69   0.07 This paper                  
PTF10fbv  2MASS               H     14.69   0.07 This paper                  
PTF10fbv  2MASS               Ks    14.77   0.14 This paper                  
PTF10fbv  WISE                W1    15.06   0.1  This paper                  
PTF10fbv  WISE                W2    15.55   0.1  This paper                  
PTF10fei  GALEX               FUV   22.73   0.58 This paper                  
PTF10fei  GALEX               NUV   22.16   0.26 This paper                  
PTF10fei  SDSS                u     22.1    0.39 This paper                  
PTF10fei  SDSS                g     21.26   0.16 This paper                  
PTF10fei  SDSS                r     20.44   0.08 This paper                  
PTF10fei  SDSS                i     20.14   0.11 This paper                  
PTF10fei  SDSS                z     19.99   0.25 This paper                  
PTF10fei  PANSTARRS           g     21.06   0.1  This paper                  
PTF10fei  PANSTARRS           r     20.47   0.09 This paper                  
PTF10fei  PANSTARRS           i     20.15   0.06 This paper                  
PTF10fei  PANSTARRS           z     19.99   0.09 This paper                  
PTF10fei  PANSTARRS           y     19.73   0.27 This paper                  
PTF10fel  SDSS                u     21.52   0.42 [2016ApJ...830...13P]      
PTF10fel  SDSS                g     20.75   0.09 [2016ApJ...830...13P]      
PTF10fel  SDSS                r     20.07   0.07 [2016ApJ...830...13P]      
PTF10fel  Keck      LRIS      I     19.92   0.07 [2016ApJ...830...13P]      
PTF10fel  SDSS                z     19.32   0.18 [2016ApJ...830...13P]      
PTF10fel  Keck      LRIS      B     21.37   0.06 [2016ApJ...830...13P]      
PTF10fel  Keck      LRIS      V     20.46   0.06 [2016ApJ...830...13P]      
PTF10fel  Keck      LRIS      R     20.21   0.1  [2016ApJ...830...13P]      
PTF10fel  Keck      MOSFIRE   J     19.34   0.06 [2016ApJ...830...13P]      
PTF10fel  WISE                W1    19.91   0.13 [2016ApJ...830...13P]      
PTF10fel  WISE                W2    20.16   0.22 [2016ApJ...830...13P]      
PTF10feq  GALEX               FUV   18.97   0.17 This paper                  
PTF10feq  GALEX               NUV   18.31   0.12 This paper                  
PTF10feq  SDSS                u     17.13   0.06 This paper                  
PTF10feq  SDSS                g     15.82   0.05 This paper                  
PTF10feq  SDSS                r     15.18   0.05 This paper                  
PTF10feq  SDSS                i     14.83   0.05 This paper                  
PTF10feq  SDSS                z     14.63   0.06 This paper                  
PTF10feq  PANSTARRS           g     15.76   0.05 This paper                  
PTF10feq  PANSTARRS           r     15.19   0.05 This paper                  
