Title: The Palomar Transient Factory Core-Collapse Supernova Host-Galaxy 
       Sample.I. Host-Galaxy Distribution Functions and Environment 
       Dependence of CCSNe 
Authors: Schulze S., Yaron O., Sollerman J., Leloudas G., Gal A., Wright A.H., 
         Lunnan R., Gal-Yam A., Ofek E.O., Perley D.A., Filippenko A.V.,
         Kasliwal M.M., Kulkarni S.R., Neill J.D., Nugent P.E., Quimby R.M.,
         Sullivan M., Strothjohann N.L., Arcavi I., Ben-Ami S., Bianco F., 
         Bloom J.S., De K., Fraser M., Fremling C.U., Horesh A., Johansson J.,
         Kelly P.L., Knevzevic N., Knevzevic S., Maguire K., Nyholm A., 
         Papadogiannakis S., Petrushevska T., Rubin A., Yan L., Yang Y.,
         Adams S.M., Bufano F., Clubb K.I., Foley R.J., Green Y., Harmanen J.,
         Ho A.Y.Q., Hook I.M., Hosseinzadeh G., Howell D.A., Kong A.K.H., 
         Kotak R., Matheson T., McCully C., Milisavljevic D., Pan Y.-C., 
         Poznanski D., Shivvers I., Velzen S.v., Verbeek K.K. 
Table: Photometry of the PTF CCSN host galaxies
================================================================================
Byte-by-byte Description of file: apjsabff5et9_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label    Explanations
--------------------------------------------------------------------------------
   1-  9 A9     ---     ID       Object identifier
  11- 19 A9     ---     Tel/Sur  Telescope/Survey designation
  21- 29 A9     ---     Inst     Instrument 
  31- 35 A5     ---     Filter   Filter
  37- 41 F5.2   mag     mag      Observed AB magnitude in Filter (1)
  43- 48 F6.2   mag   e_mag      ?=-99 Uncertainty in mag
  50- 76 A27    ---     Ref      Reference; This paper or ADS bibcode
--------------------------------------------------------------------------------
Note (1): Not corrected for reddening.
--------------------------------------------------------------------------------
PTF09bw   PANSTARRS           z     19.88   0.11 This paper                  
PTF09bw   PANSTARRS           y     19.76   0.15 This paper                  
PTF09bw   WISE                W1    19.93   0.19 This paper                  
PTF09bw   WISE                W2    20.53   0.29 This paper                  
PTF09cjq  GALEX               FUV   17.13   0.11 This paper                  
PTF09cjq  GALEX               NUV   16.76   0.1  This paper                  
PTF09cjq  SDSS                u     15.18   0.07 This paper                  
PTF09cjq  SDSS                g     13.77   0.06 This paper                  
PTF09cjq  SDSS                r     13.02   0.06 This paper                  
PTF09cjq  SDSS                i     12.63   0.06 This paper                  
PTF09cjq  SDSS                z     12.37   0.06 This paper                  
PTF09cjq  PANSTARRS           g     13.79   0.05 This paper                  
PTF09cjq  PANSTARRS           r     13.09   0.05 This paper                  
PTF09cjq  PANSTARRS           i     12.74   0.05 This paper                  
PTF09cjq  PANSTARRS           z     12.63   0.05 This paper                  
PTF09cjq  PANSTARRS           y     12.38   0.06 This paper                  
PTF09cjq  2MASS               J     12.07   0.07 This paper                  
PTF09cjq  2MASS               H     11.92   0.07 This paper                  
PTF09cjq  2MASS               Ks    12.06   0.11 This paper                  
PTF09cjq  WISE                W1    12.69   0.1  This paper                  
PTF09cjq  WISE                W2    13.34   0.11 This paper                  
PTF09cnd  GALEX               NUV   23.0    0.34 [2018MNRAS.473.1258S] 
PTF09cnd  CAHA      BUSCA     u     23.9    0.21 [2018MNRAS.473.1258S] 
PTF09cnd  CAHA      BUSCA     g     23.5    0.08 [2018MNRAS.473.1258S] 
PTF09cnd  CAHA      BUSCA     r     22.97   0.07 [2018MNRAS.473.1258S] 
PTF09cnd  CAHA      BUSCA     i     23.07   0.17 [2018MNRAS.473.1258S] 
PTF09cnd  CAHA      Omega2000 J     23.18   0.46 [2018MNRAS.473.1258S] 
PTF09ct   SDSS                u     21.33   0.23 This paper                  
PTF09ct   SDSS                g     20.34   0.07 This paper                  
PTF09ct   SDSS                r     19.52   0.06 This paper                  
PTF09ct   SDSS                i     19.2    0.07 This paper                  
PTF09ct   SDSS                z     18.93   0.13 This paper                  
PTF09ct   PANSTARRS           g     20.16   0.07 This paper                  
PTF09ct   PANSTARRS           r     19.58   0.06 This paper                  
PTF09ct   PANSTARRS           i     19.18   0.05 This paper                  
PTF09ct   PANSTARRS           z     19.02   0.08 This paper                  
PTF09ct   PANSTARRS           y     18.71   0.06 This paper                  
PTF09ct   WISE                W1    18.79   0.12 This paper                  
PTF09ct   WISE                W2    19.11   0.12 This paper                  
PTF09cu   GALEX               FUV   18.83   0.1  This paper                  
PTF09cu   GALEX               NUV   18.47   0.1  This paper                  
PTF09cu   SDSS                u     17.53   0.05 This paper                  
PTF09cu   SDSS                g     16.34   0.05 This paper                  
PTF09cu   SDSS                r     15.77   0.05 This paper                  
PTF09cu   SDSS                i     15.44   0.05 This paper                  
PTF09cu   SDSS                z     15.24   0.06 This paper                  
PTF09cu   PANSTARRS           g     16.28   0.05 This paper                  
PTF09cu   PANSTARRS           r     15.79   0.05 This paper                  
PTF09cu   PANSTARRS           i     15.44   0.05 This paper                  
PTF09cu   PANSTARRS           z     15.32   0.05 This paper                  
PTF09cu   PANSTARRS           y     15.09   0.06 This paper                  
PTF09cu   2MASS               J     15.01   0.07 This paper                  
PTF09cu   2MASS               H     15.04   0.07 This paper                  
PTF09cu   2MASS               Ks    14.98   0.11 This paper                  
PTF09cvi  LS                  g     21.97   0.08 This paper                  
PTF09cvi  LS                  r     21.94   0.13 This paper                  
PTF09cvi  SDSS                i     20.96   0.13 This paper                  
PTF09cvi  LS                  z     20.98   0.08 This paper                  
PTF09cwl  VLT       FORS2     z     24.18   0.48 [2018MNRAS.473.1258S] 
PTF09cwl  VLT       FORS2     R     25.86   0.14 [2018MNRAS.473.1258S] 
PTF09cwl  VLT       FORS2     I     24.49 -99.0  [2018MNRAS.473.1258S] 
PTF09cwl  VLT       HAWK-I    J     26.5    0.98 [2018MNRAS.473.1258S] 
PTF09cwl  VLT       HAWK-I    Ks    24.93   0.67 [2018MNRAS.473.1258S] 
PTF09cwl  HST       WFC3      F390W 25.92 -99.0  [2016MNRAS.458...84A]     
PTF09cwl  HST       WFC3      F160W 25.3    0.16 [2016MNRAS.458...84A]     
PTF09dah  GALEX               FUV   19.24   0.12 This paper                  
PTF09dah  GALEX               NUV   19.11   0.1  This paper                  
PTF09dah  SDSS                u     18.34   0.11 This paper                  
PTF09dah  SDSS                g     17.4    0.06 This paper                  
PTF09dah  SDSS                r     16.96   0.06 This paper                  
PTF09dah  SDSS                i     16.74   0.06 This paper                  
PTF09dah  SDSS                z     16.58   0.11 This paper                  
PTF09dah  PANSTARRS           g     17.43   0.07 This paper                  
PTF09dah  PANSTARRS           r     17.04   0.08 This paper                  
PTF09dah  PANSTARRS           i     17.05   0.06 This paper                  
PTF09dah  PANSTARRS           z     16.79   0.06 This paper                  
PTF09dah  PANSTARRS           y     16.52   0.14 This paper                  
PTF09dah  2MASS               J     16.28   0.11 This paper                  
PTF09dah  2MASS               H     17.17   0.17 This paper                  
PTF09dah  2MASS               Ks    16.55   0.13 This paper                  
PTF09dah  WISE                W1    17.32   0.12 This paper                  
PTF09dah  WISE                W2    18.0    0.13 This paper                  
PTF09dfk  SDSS                u     18.75   0.07 This paper                  
PTF09dfk  SDSS                g     17.53   0.05 This paper                  
PTF09dfk  SDSS                r     17.07   0.05 This paper                  
PTF09dfk  SDSS                i     16.8    0.05 This paper                  
PTF09dfk  SDSS                z     16.63   0.07 This paper                  
PTF09dfk  PANSTARRS           g     17.51   0.05 This paper                  
PTF09dfk  PANSTARRS           r     16.76   0.05 This paper                  
PTF09dfk  PANSTARRS           i     16.81   0.05 This paper                  
PTF09dfk  PANSTARRS           z     16.69   0.06 This paper                  
PTF09dfk  PANSTARRS           y     16.59   0.07 This paper                  
PTF09dfk  2MASS               J     16.61   0.08 This paper                  
PTF09dfk  2MASS               H     16.48   0.11 This paper                  
PTF09dfk  WISE                W1    16.99   0.1  This paper                  
PTF09dfk  WISE                W2    17.35   0.1  This paper                  
PTF09dh   LS                  g     24.86   0.25 This paper                  
PTF09dh   LS                  r     24.03   1.01 This paper                  
PTF09dh   LS                  z     23.92   0.8  This paper                  
PTF09dra  GALEX               FUV   19.21   0.16 This paper                  
PTF09dra  GALEX               NUV   19.0    0.1  This paper                  
PTF09dra  SDSS                u     18.06   0.07 This paper                  
PTF09dra  SDSS                g     16.96   0.05 This paper                  
PTF09dra  SDSS                r     16.39   0.05 This paper                  
PTF09dra  SDSS                i     16.05   0.05 This paper                  
PTF09dra  SDSS                z     15.9    0.07 This paper                  
PTF09dra  PANSTARRS           g     16.89   0.06 This paper                  
PTF09dra  PANSTARRS           r     16.45   0.05 This paper                  
PTF09dra  PANSTARRS           i     16.16   0.05 This paper                  
PTF09dra  PANSTARRS           z     16.02   0.05 This paper                  
PTF09dra  PANSTARRS           y     15.73   0.07 This paper                  
PTF09dra  2MASS               J     15.77   0.07 This paper                  
PTF09dra  2MASS               H     15.66   0.09 This paper                  
