,bins_logM_,quant16_m,quant50_m,quant84_m,quant05_m,quant95_m,quant01_m,quant99_m,quant16_s,quant50_s,quant84_s,quant05_s,quant95_s,quant01_s,quant99_s
0,5.0,0.0,0.0,0.0,0.0,3.1622776601683796e-06,0.0,1.2652272918333971e-05,0.0,0.0,0.0,0.0,1.5811388300841898e-05,0.0,2.8460498941515414e-05
1,5.070707070707071,0.0,0.0,0.0,0.0,3.1622776601683796e-06,0.0,1.2652272918333971e-05,0.0,0.0,0.0,0.0,1.5811388300841898e-05,0.0,2.8460498941515414e-05
2,5.070707070707071,0.0,0.0,0.0,0.0,6.324555320336758e-06,0.0,1.5811388300841898e-05,0.0,0.0,0.0,0.0,2.2135943621178656e-05,0.0,4.111593413750984e-05
3,5.141414141414141,0.0,0.0,0.0,0.0,6.324555320336758e-06,0.0,1.5811388300841898e-05,0.0,0.0,0.0,0.0,2.2135943621178656e-05,0.0,4.111593413750984e-05
4,5.141414141414141,0.0,0.0,0.0,0.0,6.324555320336759e-06,0.0,1.8979990516331183e-05,0.0,0.0,0.0,0.0,3.1622776601683795e-05,0.0,6.008643782085966e-05
5,5.212121212121212,0.0,0.0,0.0,0.0,6.324555320336759e-06,0.0,1.8979990516331183e-05,0.0,0.0,0.0,0.0,3.1622776601683795e-05,0.0,6.008643782085966e-05
6,5.212121212121212,0.0,0.0,0.0,0.0,9.48683298050514e-06,0.0,2.214226817649956e-05,0.0,0.0,0.0,0.0,4.110960958218893e-05,0.0,6.642047997417778e-05
7,5.282828282828283,0.0,0.0,0.0,0.0,9.48683298050514e-06,0.0,2.214226817649956e-05,0.0,0.0,0.0,0.0,4.110960958218893e-05,0.0,6.642047997417778e-05
8,5.282828282828283,0.0,0.0,0.0,0.0,1.2649110640673517e-05,0.0,2.8463661219175874e-05,0.0,0.0,0.0,0.0,4.7506897288709644e-05,0.0,7.592312434298518e-05
9,5.353535353535354,0.0,0.0,0.0,0.0,1.2649110640673517e-05,0.0,2.8463661219175874e-05,0.0,0.0,0.0,0.0,4.7506897288709644e-05,0.0,7.592312434298518e-05
10,5.353535353535354,0.0,0.0,0.0,0.0,1.2649110640673518e-05,0.0,3.1622776601683795e-05,0.0,0.0,0.0,0.0,6.0083275543199206e-05,0.0,8.540679504582986e-05
11,5.424242424242424,0.0,0.0,0.0,0.0,1.2649110640673518e-05,0.0,3.1622776601683795e-05,0.0,0.0,0.0,0.0,6.0083275543199206e-05,0.0,8.540679504582986e-05
12,5.424242424242424,0.0,0.0,0.0,0.0,1.5811388300841898e-05,0.0,3.1622776601683795e-05,0.0,0.0,0.0,0.0,7.273238618387273e-05,0.0,0.00010120553423602998
13,5.494949494949495,0.0,0.0,0.0,0.0,1.5811388300841898e-05,0.0,3.1622776601683795e-05,0.0,0.0,0.0,0.0,7.273238618387273e-05,0.0,0.00010120553423602998
14,5.494949494949495,0.0,0.0,0.0,0.0,1.8973665961010275e-05,0.0,3.4791378817173084e-05,0.0,0.0,0.0,0.0,8.538149682454625e-05,0.0,0.00011701376025921139
15,5.565656565656566,0.0,0.0,0.0,0.0,1.8973665961010275e-05,0.0,3.4791378817173084e-05,0.0,0.0,0.0,0.0,8.538149682454625e-05,0.0,0.00011701376025921139
16,5.565656565656566,0.0,0.0,0.0,0.0,2.2135943621178656e-05,0.0,4.111277185984939e-05,0.0,0.0,0.0,0.0,0.00010119288512538813,0.0,0.00014546477236774546
17,5.636363636363637,0.0,0.0,0.0,0.0,2.2135943621178656e-05,0.0,4.111277185984939e-05,0.0,0.0,0.0,0.0,0.00010119288512538813,0.0,0.00014546477236774546
18,5.636363636363637,0.0,0.0,0.0,0.0,2.5298221281347034e-05,0.0,4.4275049520017764e-05,0.0,0.0,0.0,0.0,0.00011075245049207724,0.0,0.00015812969439672127
19,5.707070707070707,0.0,0.0,0.0,0.0,2.5298221281347034e-05,0.0,4.4275049520017764e-05,0.0,0.0,0.0,0.0,0.00011075245049207724,0.0,0.00015812969439672127
20,5.707070707070707,0.0,0.0,0.0,0.0,2.853323132769937e-05,0.0,5.059960484035453e-05,0.0,0.0,0.0,0.0,0.00012649110640673518,0.0,0.00018025298890725805
21,5.777777777777778,0.0,0.0,0.0,0.0,2.853323132769937e-05,0.0,5.059960484035453e-05,0.0,0.0,0.0,0.0,0.00012649110640673518,0.0,0.00018025298890725805
22,5.777777777777778,0.0,0.0,0.0,0.0,3.478505426185217e-05,0.0,5.692416016069129e-05,0.0,0.0,0.0,0.0,0.0001486270500279138,0.0,0.00020871348784877347
23,5.848484848484849,0.0,0.0,0.0,0.0,3.478505426185217e-05,0.0,5.692416016069129e-05,0.0,0.0,0.0,0.0,0.0001486270500279138,0.0,0.00020871348784877347
24,5.848484848484849,0.0,0.0,0.0,0.0,4.110960958218893e-05,0.0,6.0089600098520125e-05,0.0,0.0,0.0,0.0,0.0001645111707149397,0.0,0.00023401487140778103
25,5.919191919191919,0.0,0.0,0.0,0.0,4.110960958218893e-05,0.0,6.0089600098520125e-05,0.0,0.0,0.0,0.0,0.0001645111707149397,0.0,0.00023401487140778103
26,5.919191919191919,0.0,0.0,0.0,0.0,4.434461962854127e-05,0.0,6.64204799741778e-05,0.0,0.0,3.1622776601683795e-05,0.0,0.00018973665961010273,0.0,0.0002687936011143122
27,5.98989898989899,0.0,0.0,0.0,0.0,4.434461962854127e-05,0.0,6.64204799741778e-05,0.0,0.0,3.1622776601683795e-05,0.0,0.00018973665961010273,0.0,0.0002687936011143122
